employee_id	assigned_sex	location	tenure	satisfaction
AQ1115856	female	New York	1.8	5
AQ1619308	female	New York	5.1	2
AQ1903515	female	New York	2.3	4
AQ1515074	female	Seattle	1.1	2
AQ1284482	female	New York	1.7	2
AQ1768430	female	New York	3.1	2
AQ1736975	female	Seattle	1.2	5
AQ1363121	female	Seattle	2.3	5
AQ1264766	female	Seattle	0.9	3
AQ1431926	female	Seattle	2	4
AQ1486741	female	Seattle	0.4	3
AQ1928414	female	New York	4.1	4
AQ1225183	female	New York	1	3
AQ1014973	female	New York	3.1	3
AQ1548902	female	New York	4.8	3
AQ1785507	female	Seattle	1.1	3
AQ1093475	female	Seattle	2.9	4
AQ1320880	female	Seattle	2.2	4
AQ1708940	female	Seattle	0.9	4
AQ1930907	female	New York	1.7	4
AQ1448991	female	Seattle	1.3	5
AQ1413199	female	Seattle	4	5
AQ1247792	female	New York	2.4	3
AQ1276437	female	New York	1.8	3
AQ1444117	female	Seattle	1.3	3
AQ1215277	female	Seattle	2.3	3
AQ1923513	female	Seattle	2.3	5
AQ1730052	female	Seattle	0.7	4
AQ1046496	female	Seattle	5.5	3
AQ1475530	female	New York	0.9	2
AQ1960289	female	New York	0.6	4
AQ1472537	female	New York	3.9	4
AQ1184582	female	New York	3.4	4
AQ1844201	female	New York	0.6	3
AQ1306250	female	Seattle	0.8	3
AQ1534956	female	Seattle	0.5	2
AQ1912469	female	New York	1.3	3
AQ1886396	female	New York	0.3	4
AQ1170465	female	Seattle	1.3	3
AQ1220054	female	New York	2.2	3
AQ1371138	female	Seattle	1	2
AQ1562142	female	New York	4.4	3
AQ1996721	female	New York	1.3	4
AQ1357093	female	New York	0.2	3
AQ1055084	female	New York	2.5	3
AQ1616306	female	New York	1.2	4
AQ1854566	female	Seattle	3.2	4
AQ1041741	female	Seattle	1.9	3
AQ1228773	female	New York	2.2	3
AQ1890689	female	New York	1.3	2
AQ1035586	female	Seattle	4.5	5
AQ1211980	female	New York	0.5	2
AQ1051940	female	Seattle	2.3	4
AQ1928565	female	Seattle	2.2	4
AQ1209475	female	Seattle	0.7	3
AQ1168575	female	New York	0.2	3
AQ1110334	female	Seattle	2	3
AQ1817186	female	Seattle	0.9	3
AQ1631905	female	New York	4.2	4
AQ1770511	female	Seattle	2.4	3
AQ1493674	female	New York	3.3	3
AQ1149997	female	Seattle	1.4	2
AQ1339094	female	New York	1	3
AQ1362599	female	New York	1.4	4
AQ1504343	female	Seattle	1.5	3
AQ1312745	female	New York	0.9	3
AQ1436877	female	New York	0.8	3
AQ1150754	female	New York	3.2	4
AQ1480481	female	Seattle	5	5
AQ1759322	female	Seattle	0.7	4
AQ1581021	female	New York	2.2	4
AQ1848267	female	Seattle	2.5	4
AQ1159867	female	New York	3.7	4
AQ1473679	female	Seattle	1.5	3
AQ1842707	female	New York	1.9	3
AQ1488155	female	Seattle	3.7	5
AQ1448441	female	Seattle	1.6	6
AQ1950407	female	Seattle	1.4	6
AQ1883034	female	Seattle	0.2	4
AQ1940951	female	Seattle	0.5	3
AQ1601800	female	New York	1.5	2
AQ1973341	female	New York	1.3	3
AQ1186924	female	Seattle	2.4	4
AQ1935626	female	New York	2	5
AQ1744488	female	Seattle	4	4
AQ1233041	female	Seattle	1.3	2
AQ1145253	female	Seattle	5.4	5
