row,altitude,moisture,pressure,wind_speed,sky_condition,time_of_day,air_quality_index
233,18K feet,rain,steady,steady,limited,14,44.58699667122172
234,30K feet,dry,high,steady,poor,14,14.354967870603911
235,Lolo Peak,mist,low,gusty,limited,21,114.65056793785921
236,Lolo Peak,fog,steady,steady,poor,16,151.09954996714788
237,18K feet,dry,steady,gusty,clear,13,41.088472517366405
238,Lolo Peak,fog,high,gusty,clear,10,146.61310109491097
239,18K feet,dry,steady,gusty,clear,13,38.41037813113276
240,18K feet,dry,high,gusty,limited,14,42.75138523285281
241,Missoula,dry,steady,steady,clear,11,184.30496476742493
242,Lolo Peak,fog,low,steady,clear,15,141.27551069734804
243,30K feet,rain,high,high,clear,13,5.26841025718471
244,Lolo Peak,mist,high,gusty,poor,9,125.95458582198121
245,Lolo Peak,mist,steady,gusty,limited,21,116.41186375112673
246,30K feet,dry,low,gusty,clear,13,6.141994638988898
247,30K feet,fog,high,steady,limited,9,58.34731175713434
248,sea level,fog,steady,high,limited,7,364.19650718020586
249,sea level,fog,high,gusty,limited,9,360.33964884103926
250,sea level,mist,high,high,limited,13,327.1692549918041
251,sea level,fog,high,high,poor,19,367.0882525190722
252,Missoula,rain,steady,gusty,limited,11,189.1571933502227
253,Missoula,dry,steady,steady,limited,10,189.4402101777056
254,Missoula,fog,steady,high,limited,14,241.03040105262642
255,Lolo Peak,mist,low,steady,poor,8,120.78983926017919
256,Missoula,dry,steady,gusty,clear,11,183.88610466775458
257,18K feet,fog,steady,gusty,limited,10,92.7994614070637
258,30K feet,dry,steady,high,limited,10,11.716360969742727
259,30K feet,rain,steady,steady,poor,9,18.79411531033154
260,18K feet,mist,low,calm,limited,12,57.150364902368445
261,Lolo Peak,dry,high,high,poor,17,105.75145872787765
262,Missoula,fog,high,steady,limited,13,238.064008311652
263,Lolo Peak,fog,high,high,poor,10,159.26052968080594
264,Missoula,dry,steady,high,limited,14,185.24999281270527
265,30K feet,dry,high,steady,limited,15,8.908197354454526
266,30K feet,fog,low,gusty,limited,17,53.92096052239751
267,18K feet,mist,steady,high,poor,5,61.7913910120403
268,30K feet,fog,low,steady,poor,20,64.03097442735012
269,sea level,mist,high,high,limited,12,329.881409893219
270,18K feet,dry,steady,gusty,poor,16,37.5919800170433
271,30K feet,mist,high,steady,poor,13,32.841754410198945
272,18K feet,fog,high,calm,limited,13,83.24577390016731
273,30K feet,fog,low,steady,poor,17,63.375238631176046
274,Lolo Peak,fog,steady,high,limited,9,146.23988506022332
275,Missoula,fog,low,high,clear,8,235.4947473555479
276,Lolo Peak,fog,low,steady,limited,11,147.24241069032894
277,sea level,rain,high,gusty,clear,10,311.7037608425345
278,Lolo Peak,dry,steady,high,poor,19,109.02309287428002
279,Lolo Peak,fog,high,high,poor,4,155.34673925753248
280,sea level,rain,high,steady,clear,8,306.87310725574
281,sea level,dry,high,steady,poor,13,308.39781623134024
282,18K feet,mist,high,gusty,clear,15,51.20316036024061
283,Missoula,rain,low,steady,poor,13,199.19347524873191
284,30K feet,rain,steady,high,poor,11,15.298066621688312
285,sea level,rain,high,gusty,poor,9,322.108207938868
286,Missoula,mist,steady,high,poor,16,218.2167322147489
287,Missoula,mist,steady,steady,poor,9,210.88912285811838
288,30K feet,dry,steady,high,poor,16,16.0716440148574
289,18K feet,dry,high,high,limited,7,39.708164926613634
290,18K feet,mist,steady,gusty,clear,21,55.54323234927089
291,18K feet,mist,low,high,limited,17,62.98874633223305
292,Lolo Peak,dry,high,steady,poor,7,104.29569327910892
293,30K feet,fog,steady,high,poor,6,63.1620834704255
294,sea level,mist,low,high,clear,12,325.41965738077334
295,18K feet,fog,high,gusty,poor,10,97.0977058642851
296,sea level,fog,low,steady,poor,9,359.33719251559404
297,sea level,mist,high,high,limited,13,320.2992371278527
298,sea level,mist,high,calm,poor,11,336.4932672005589
299,Lolo Peak,rain,steady,steady,limited,15,106.90015624445077
300,Missoula,rain,low,high,poor,7,198.2683129402774
301,sea level,mist,steady,high,poor,8,338.6199876766024
302,30K feet,fog,high,steady,limited,11,53.508324389905084
303,Lolo Peak,dry,high,high,clear,14,98.50984921804243
304,Lolo Peak,mist,steady,high,poor,11,127.80510071831418
305,18K feet,mist,high,high,clear,16,58.6383942346637
306,sea level,dry,high,gusty,limited,17,306.7522204169769
307,30K feet,rain,low,high,clear,10,13.943810472105763
308,Missoula,mist,low,high,limited,16,214.61305471155515
309,18K feet,mist,high,gusty,clear,22,52.264304570039826
310,Missoula,fog,low,steady,clear,17,237.99857509779676
311,30K feet,rain,low,gusty,poor,9,22.10524365052593
312,18K feet,mist,steady,high,limited,18,54.64602191645572
313,18K feet,rain,low,steady,clear,15,43.20362246596804
314,18K feet,rain,steady,calm,clear,10,43.65763675396489
315,18K feet,dry,high,high,limited,16,37.95278902108253
316,Missoula,mist,steady,gusty,poor,4,213.27138867928042
317,Missoula,dry,steady,high,limited,4,186.19223031778586
318,30K feet,mist,steady,high,clear,15,31.09034946796532
319,Lolo Peak,mist,steady,gusty,limited,15,118.74226480271702
320,sea level,dry,low,high,poor,9,313.52783138307524
321,18K feet,rain,steady,high,poor,13,53.459951738514135
322,Missoula,fog,steady,gusty,clear,15,238.97705660788225
323,18K feet,rain,steady,high,limited,12,43.34380393008395
324,30K feet,fog,steady,gusty,limited,10,64.28083043742234
325,30K feet,dry,high,gusty,limited,9,7.901496465458132
326,sea level,dry,steady,steady,poor,6,313.1905982030046
327,18K feet,fog,steady,high,poor,15,95.07821123842862
328,sea level,rain,low,high,clear,9,306.74067895585205
329,Lolo Peak,dry,steady,steady,limited,5,97.28188542950738
330,Missoula,mist,steady,steady,limited,9,209.30860172679948
331,sea level,rain,steady,calm,poor,9,321.8659918326171
332,Missoula,fog,low,steady,clear,10,237.49585430013153
333,Lolo Peak,fog,low,high,clear,16,144.91775218413866
334,Missoula,mist,low,steady,poor,11,209.5139876273075
335,Missoula,dry,low,steady,poor,20,190.23356857275226
336,18K feet,dry,steady,steady,limited,12,42.643081399710375
337,30K feet,fog,steady,high,clear,10,54.73264971741582
338,18K feet,rain,low,high,poor,9,49.05408543574366
339,Lolo Peak,rain,steady,high,clear,17,102.2747166487793
340,sea level,dry,high,high,clear,21,301.1232186754582
341,Missoula,mist,high,high,poor,6,213.31274212635347
342,Missoula,fog,low,gusty,limited,11,235.2371460768124
343,Lolo Peak,fog,steady,gusty,poor,15,155.15757402312212
344,18K feet,mist,steady,high,poor,15,64.27183917470988
345,Lolo Peak,mist,high,high,poor,20,123.8186980979462
346,30K feet,mist,high,high,limited,16,32.27614745782529
347,Lolo Peak,dry,steady,gusty,clear,19,94.14846132764684
348,30K feet,rain,high,calm,poor,10,18.7061580251881
349,sea level,fog,high,gusty,clear,15,356.6162435205716
350,30K feet,rain,steady,calm,limited,11,10.84597736326079
351,18K feet,fog,low,high,clear,10,84.27790854189779
352,18K feet,rain,steady,gusty,poor,13,52.5085509654132
353,Missoula,rain,steady,calm,clear,8,191.18376539449963
354,30K feet,mist,steady,high,clear,12,26.382460800612776
355,30K feet,rain,low,gusty,poor,10,20.79480448271048
356,sea level,dry,steady,steady,limited,12,312.0196309297036
357,sea level,dry,steady,steady,limited,13,305.57641607569303
358,Lolo Peak,fog,high,steady,limited,11,148.1627369665538
359,18K feet,mist,low,high,limited,20,63.81629064781439
360,30K feet,mist,low,steady,clear,13,28.736422444703827
361,30K feet,fog,low,steady,limited,8,53.36125543903828
362,Missoula,fog,steady,high,clear,17,240.01856828298355
363,Missoula,rain,steady,gusty,poor,14,200.58210732582788
364,18K feet,rain,low,steady,clear,7,42.37098380401024
365,sea level,rain,steady,steady,limited,14,313.6832567290662
366,Lolo Peak,fog,high,high,limited,13,146.93964837009472
367,18K feet,mist,high,gusty,poor,10,63.83927138045381
368,sea level,fog,steady,steady,clear,11,356.0266616102492
369,30K feet,mist,high,gusty,poor,15,31.221916628486472
370,Missoula,rain,low,gusty,poor,12,199.5763395293282
371,Lolo Peak,dry,low,steady,clear,11,90.6743567822678
372,Lolo Peak,dry,steady,steady,clear,17,96.4141839055669
373,18K feet,dry,low,steady,clear,11,37.84638042102854
374,Missoula,mist,high,steady,clear,8,212.028445166232
375,sea level,fog,steady,high,limited,9,353.7409733401425
376,30K feet,rain,low,gusty,poor,12,20.719497310240694
377,Missoula,mist,low,steady,limited,13,209.1867840502141
378,30K feet,mist,high,steady,clear,17,25.553191447879396
379,30K feet,mist,steady,gusty,limited,8,28.226927098864156
380,sea level,mist,steady,high,poor,4,335.00599108142455
381,sea level,dry,steady,steady,clear,15,308.34797248343574
382,18K feet,rain,high,gusty,clear,12,45.544352529526286
383,18K feet,rain,steady,gusty,limited,14,45.63283033896614
384,18K feet,rain,steady,steady,poor,14,48.59035804647209
385,Lolo Peak,dry,steady,steady,poor,9,103.15106462351912
386,30K feet,fog,low,gusty,limited,8,56.046341515047
387,18K feet,rain,steady,steady,clear,13,38.78054092225809
388,Missoula,rain,steady,gusty,poor,11,198.2108122195856
389,Missoula,dry,steady,steady,limited,12,187.48428884456942
390,sea level,mist,high,gusty,poor,11,332.2127199340078
391,sea level,fog,steady,steady,poor,11,361.2956827162605
392,sea level,mist,steady,gusty,clear,17,326.4018683277232
393,18K feet,fog,low,steady,poor,9,98.49646650866772
394,Missoula,fog,low,gusty,limited,9,239.02112148689653
395,Missoula,mist,low,steady,limited,13,202.31763802956945
396,sea level,rain,steady,steady,poor,12,316.0263510725624
397,Lolo Peak,rain,high,high,poor,21,107.90033560356166
398,Lolo Peak,dry,steady,steady,poor,15,108.82358582106056
399,sea level,mist,low,high,poor,13,336.98589163173136
400,30K feet,fog,low,high,poor,12,61.853086893613686
401,Lolo Peak,rain,steady,high,poor,12,104.78329568518829
402,18K feet,rain,steady,steady,poor,11,53.76460873355498
403,Lolo Peak,mist,low,steady,limited,14,115.80370513297468
404,Lolo Peak,mist,low,gusty,limited,7,115.91230763535557
405,18K feet,mist,high,high,clear,11,56.23159820659793
406,sea level,fog,steady,high,limited,11,354.9754535737193
407,Missoula,mist,low,high,poor,8,216.7077944700614
408,18K feet,dry,high,gusty,poor,9,46.097832459071306
409,Missoula,rain,steady,gusty,limited,17,194.6345391267278
410,30K feet,rain,high,high,limited,12,11.256190127255032
411,sea level,rain,low,gusty,poor,6,319.8297114607125
412,18K feet,rain,high,gusty,clear,10,43.45834137366627
413,Missoula,dry,high,high,clear,5,186.19197351955523
414,Lolo Peak,dry,steady,steady,limited,3,98.44256917958268
415,Lolo Peak,rain,low,high,clear,15,103.26721046396996
416,Lolo Peak,dry,steady,high,poor,11,100.69821412992613
417,30K feet,mist,low,steady,poor,13,32.047079181131544
418,sea level,rain,low,calm,poor,11,321.4065712631539
419,sea level,mist,steady,gusty,limited,18,330.4369545829471
420,30K feet,rain,low,calm,poor,10,18.362115688196553
421,Lolo Peak,dry,low,calm,limited,6,95.85866612326811
422,Lolo Peak,dry,steady,gusty,limited,15,96.84712052968875
423,Missoula,mist,low,gusty,clear,10,206.76617006126423
424,Missoula,fog,high,high,limited,16,242.82597625384338
425,Lolo Peak,rain,low,gusty,poor,16,106.72062301552096
426,18K feet,fog,low,gusty,clear,13,86.11531418056714
427,18K feet,fog,high,steady,poor,4,94.59466025468768
428,30K feet,mist,low,high,limited,7,25.947972643640327
429,sea level,rain,high,gusty,poor,9,319.7535512614419
430,30K feet,dry,steady,high,poor,10,14.49492352053049
431,Missoula,fog,high,gusty,clear,13,241.1222440456531
432,Missoula,rain,low,high,limited,5,191.83702531937632
433,Missoula,dry,steady,steady,limited,14,188.89937496612626
434,18K feet,fog,low,steady,poor,9,98.64591185001386
435,30K feet,dry,low,gusty,clear,4,5.8520679444534505
436,sea level,mist,steady,high,poor,16,329.77227386042074
437,30K feet,fog,high,steady,clear,8,55.84327027697034
438,sea level,fog,high,high,clear,8,349.30412529531174
439,Lolo Peak,dry,low,gusty,clear,23,93.42691241758233
440,30K feet,rain,high,gusty,clear,14,9.625016900603411
441,Lolo Peak,fog,low,gusty,clear,13,147.69732100572506
442,30K feet,dry,steady,high,limited,18,5.787790068777085
443,Missoula,fog,steady,high,poor,12,241.2605192177103
444,sea level,mist,low,gusty,poor,11,337.7934543398363
445,Lolo Peak,fog,low,steady,limited,14,148.30849539207472
446,Lolo Peak,rain,low,steady,clear,12,94.86630576042391
447,30K feet,dry,high,steady,clear,10,10.371936470654763
448,Lolo Peak,rain,high,high,poor,6,112.47975890256785
449,Missoula,dry,low,gusty,clear,18,180.67640084577314
450,Missoula,rain,high,gusty,poor,16,200.68206951399782
451,sea level,dry,low,gusty,clear,19,306.0648718900833
452,Missoula,dry,steady,gusty,poor,14,194.7353182726409
453,Lolo Peak,dry,high,high,clear,14,94.76204587147637
454,18K feet,fog,high,gusty,poor,12,93.13097913756575
455,30K feet,fog,high,high,poor,13,65.25103226435938
456,Missoula,mist,steady,gusty,clear,20,210.58595996964604
457,sea level,mist,low,calm,limited,17,326.09024900494313
458,30K feet,dry,low,steady,clear,14,4.6939608929466035
459,Lolo Peak,dry,high,gusty,clear,9,91.29003605515422
460,Missoula,mist,low,steady,clear,11,199.4190078018986
461,30K feet,fog,steady,high,clear,13,53.96690359130262
462,sea level,fog,low,high,limited,12,359.3144072432079
463,sea level,dry,steady,high,poor,9,317.15451690012685
464,Missoula,fog,high,high,clear,14,231.58766725206314
465,sea level,dry,low,high,clear,16,298.5279921610003
466,Missoula,dry,steady,gusty,poor,10,196.16627434592607
467,18K feet,mist,high,steady,limited,16,51.848165562890784
468,Missoula,dry,steady,high,limited,13,191.95890903534337
469,Missoula,rain,high,high,limited,10,192.97595542260896
470,sea level,dry,high,high,clear,18,306.6123839346593
471,18K feet,mist,low,high,poor,14,68.05452228445358
472,Lolo Peak,dry,low,gusty,limited,16,95.4488531687591
473,Lolo Peak,dry,steady,high,poor,22,104.26770188805811
474,Lolo Peak,mist,steady,steady,limited,6,116.70395156289571
475,Missoula,rain,steady,high,limited,13,193.43444475024071
476,Missoula,dry,high,high,limited,13,182.15684772712126
477,30K feet,rain,low,high,limited,10,14.145281693550874
478,sea level,fog,low,high,poor,9,361.2379389508709
479,18K feet,dry,low,high,clear,16,40.57012075073242
480,30K feet,dry,low,gusty,poor,9,13.933290138137066
481,Missoula,fog,high,steady,limited,13,235.51155828465826
482,sea level,rain,high,high,clear,12,312.2924766627473
483,Missoula,mist,high,gusty,limited,16,207.68967918401674
484,sea level,fog,low,high,limited,15,356.5276809505931
485,Lolo Peak,rain,steady,high,clear,15,103.43821533953829
486,30K feet,fog,steady,steady,clear,13,54.34556155926473
