row	weekday	weather	time	temperature	pedestrian_level	police_presence	consumer_satisfaction	accidents_per_10K_1	accidents_per_10K_2	accidents_per_10K_3
24	Su	sunny	midday	67.74678353788397	7	3	56.942232963297606	18.955485983006593	7.501194742777799	0
25	Fr	sunny	morning rush	72.98388210888159	6	2	71.30506796114409	21.233005970127643	0	0.4800648002665815
26	Tu	rainy	midday	60.02348863741794	5	3	71.1671593434143	22.09835501008814	6.909735651902016	0
27	Sa	sunny	midday	71.7574813185321	4	3	69.76254450751686	13.075767405508111	0	0
28	M	snowy	overnight	15.17819352625321	1	1	41.4802473735169	10.805931138986185	0	0
29	Th	snowy	morning rush	3.8126381033146988	4	1	58.91610125749048	19.299676917747433	11.254778909363464	2.8502256232826815
30	Su	sunny	midday	81.71186062767194	7	2	49.84040412170985	25.935422241897186	5.0033468376669035	0
31	W	sunny	morning rush	58.43454549177057	6	2	76.8599782405114	17.62447932097719	5.874667893476437	0
32	Tu	sunny	midday	87.46264691344106	3	1	37.63500050822931	8.330992098286206	0	0
33	Fr	snowy	overnight	10.996181946001686	2	1	53.008442602340025	15.064917481716567	5.793978428476935	0.39180704972792135
34	Th	snowy	evening rush	-0.6272707734272629	4	1	73.20048202706519	17.327591153652413	10.906009258268838	1.5847289558545796
35	W	sunny	midday	72.41761270654443	4	1	50.70083528665741	8.117512341021527	0	0
36	Tu	snowy	midday	8.131027728816516	3	1	71.70483831164151	12.78189878017249	8.153740437025501	0
37	Tu	rainy	overnight	68.84707407823467	3	2	49.73162317567435	15.558635847318513	0	0
38	Su	snowy	morning rush	7.1763308580918705	8	3	26.493805650418366	27.772449662908777	23.437168054143317	0
39	M	rainy	overnight	59.732606352823794	5	3	88.8762904467975	20.721448141198017	6.024515102200429	0
40	W	snowy	overnight	11.949923073599702	4	4	88.06983265494016	15.874738756478159	5.435013345929185	0
41	Th	sunny	overnight	49.291062031935766	9	3	46.38358246320879	28.42143188416967	19.168461879822598	0
42	W	snowy	midday	8.410957806285488	5	2	47.983366813248665	18.11009611229112	14.401018714136494	0
43	Sa	sunny	midday	65.96670875556032	3	4	29.048677923456715	7.168867967360131	0.2982455202566321	0
44	Fr	snowy	overnight	25.606660474534582	7	1	68.79979816831616	27.169834640324996	19.899544813826445	0
45	Fr	sunny	morning rush	79.11403522357887	5	4	28.166887359820063	17.6914458655652	0.8207397106025047	3.3942468841442275
46	M	sunny	morning rush	72.02136181144726	3	1	84.6335438651492	13.8055123461009	0	1.5870584571667696
47	Sa	sunny	overnight	62.577177009906556	4	1	24.30238832620742	16.51394596177959	0	1.226509475619682
48	W	sunny	evening rush	54.20684235906802	4	1	33.49176048087875	16.475187480230524	0	0
49	M	sunny	overnight	67.48586392676654	8	2	66.24048260243208	30.913693951549075	9.776563680701027	2.321007985915353
50	W	sunny	overnight	85.73007626228895	4	4	63.65510856701508	15.604326142674669	0	1.7353924864945929
51	Sa	sunny	midday	70.73277586863567	6	4	42.459617546685465	14.890866710688737	3.701825251157624	0
52	Fr	sunny	midday	70.32167004184997	6	3	46.49298974818782	19.53793450270945	7.378981834962859	0
53	Su	sunny	midday	69.03457722496401	8	3	62.266504016122	22.730014621774387	11.656889128053177	1.0232970399560437
54	M	sunny	midday	56.49115434137336	5	3	47.311848219932514	16.609036353046296	3.2291052993850227	0
55	Su	rainy	morning rush	55.30577890170782	4	2	24.09792452863108	13.915662488763175	0	0
56	M	sunny	midday	83.47419983103613	4	1	64.98953962316432	13.094702173902567	0	0
57	Th	sunny	midday	92.10834428388898	7	2	74.99750458281241	17.962617864920205	6.800634771679791	0
58	Fr	sunny	morning rush	62.6022752904525	2	1	42.37019784116752	13.29568477373399	0	1.2445200303792558
59	Th	sunny	evening rush	76.8566641702024	1	3	50.35489765426482	5.6481904259736355	0	2.7293174544660666
60	Su	sunny	evening rush	74.56563039058707	4	3	38.605633526904114	15.113342519894719	0	0
61	M	snowy	morning rush	10.487367902013709	5	1	74.06908659869956	20.012903054136014	11.836349900536382	0
62	Th	sunny	morning rush	73.10282742069782	5	1	47.680618041058544	18.6131716665641	0	0.16351195697050316
63	M	sunny	midday	54.952304187070084	5	2	43.539308503376	19.766170645885595	5.374799797792549	0
64	Tu	sunny	evening rush	56.528625791758024	6	1	62.71458655047573	19.25495208961521	8.964428188156106	1.9818306299879815
65	Th	sunny	midday	71.79225621508797	3	2	29.419266078338914	9.916283579177902	0	0
66	Th	sunny	midday	78.40062008800686	5	1	57.68424215070492	13.818510477814574	1.7998579272437616	0
67	Fr	sunny	evening rush	63.70039006447135	6	2	40.110500329370666	20.502070691038174	2.620349268632299	0
68	M	sunny	midday	47.6108587266638	7	1	56.33466276447276	22.069201818832322	10.603453200969826	0
69	Sa	sunny	midday	67.19522668172759	2	1	38.87086380560824	4.661115745589369	0	0
70	W	sunny	evening rush	58.81040549371697	4	2	69.36564985963311	14.99682430026828	0	0.44180871061699967
71	Tu	sunny	morning rush	73.07524896764419	9	1	17.903771540674875	30.677828352848426	10.539692274286566	0
72	Th	sunny	overnight	67.31078718125647	4	1	73.16469696380443	14.225767941323227	0	0.611711330948205
73	Su	sunny	evening rush	61.68523371932112	8	3	66.23135415895794	28.47919606687227	11.560307912091705	0.13750916267439384
74	M	sunny	overnight	65.66206235568075	3	2	30.700291268916395	15.874996795338914	0	1.8065029840326652
75	Fr	snowy	evening rush	9.726986660669121	5	1	38.836116088007714	23.89446247187346	16.344786739583633	0
76	Sa	sunny	morning rush	97.35486643053221	6	1	60.86636463784944	16.073811378180437	0	3.611441691692709
77	W	sunny	morning rush	86.11572195295665	3	2	86.62023076946284	9.346732332691424	0	0
78	Sa	snowy	evening rush	13.400391294370811	6	2	40.89740420562026	22.24367273805704	15.86693265914328	0
79	Tu	snowy	midday	4.570474660794971	6	2	46.243910329524326	17.618885942426175	16.265808306790515	1.3961439814724164
80	Su	sunny	midday	46.2983039546822	7	1	55.35450703365213	21.624533021109993	9.19743605523595	0
81	Sa	sunny	midday	59.75340898253947	4	1	53.56817027548829	12.861434476745934	0	0
82	Tu	rainy	midday	63.342634121280234	4	3	72.56776394444131	11.959503262469308	1.9586229651012679	0
83	W	sunny	midday	62.974445642853915	3	1	42.96800993723221	8.780465978830575	0	0
84	Tu	sunny	overnight	94.73138634543227	4	2	41.52390144415183	11.634673347394617	0	0
85	M	snowy	midday	10.968922261445103	4	2	53.95403616450566	21.783421353509485	5.707032914166653	0
86	Tu	sunny	overnight	81.20514231563297	10	4	14.454786723293267	33.22900016766361	12.755133895560185	4.897973213357462
87	Fr	snowy	morning rush	10.691535873338314	2	1	18.40349888675423	9.713220251467646	0.7495056474515693	0
88	Th	sunny	overnight	50.33727110415252	5	2	59.264949948964826	20.264264075487517	5.1114968380132	5.808258988761338
89	Fr	snowy	midday	15.86476784026459	4	4	48.62016970235928	16.46344067964632	8.040291270010563	0
90	W	snowy	midday	10.034236634641555	7	4	40.23831602861099	24.660147655039612	19.96793418459897	0
91	W	rainy	morning rush	80.22491781675829	5	3	50.53915571772605	19.99375574354374	0.7400666356766878	0
92	W	sunny	overnight	78.33853877619457	3	2	19.130201403045024	8.507820489481267	0	0.9017958525894048
93	W	snowy	overnight	14.709175829199221	6	1	61.638202590587916	22.870505025715662	11.994890684947528	0
94	Su	sunny	overnight	55.67662148843727	6	3	55.09828949706836	20.808988522222172	6.217942261000273	2.4079029679852217
95	Tu	sunny	midday	64.9101295745902	5	1	55.26477194139017	16.295209262971504	3.4297678496158257	0
96	Tu	sunny	evening rush	68.13270208077486	3	1	69.97652298511723	13.499787973621503	0	0
97	W	sunny	midday	78.58656365920353	2	3	37.18657926015796	2.6746573309765296	0	0.14119647163581583
98	Fr	rainy	overnight	68.29340866450039	6	1	62.200853854367544	26.1630323291407	5.462211106499197	0
99	W	sunny	evening rush	73.62947151759492	3	1	62.03106678466403	4.570009041384906	0	2.027608916680755
100	Fr	snowy	overnight	11.296200552331813	8	2	60.72285441499064	31.91373425435697	26.236421954526534	2.1226536843755723
101	Fr	rainy	morning rush	88.52684738242871	6	1	47.804320730250524	21.595752322671945	0	0
102	Su	sunny	midday	75.73681151720533	5	3	26.07974273433602	16.682104273407376	0	2.8228243017895513
103	Su	snowy	morning rush	9.681554790465253	5	2	49.68698807839275	21.47607809179814	11.96079715883424	0
104	Sa	sunny	overnight	75.78191183704543	3	4	67.64015646963391	12.373534959344811	0	1.338309628135096
105	Su	sunny	midday	77.36439275793995	8	1	72.36153462224426	21.811148205735662	9.014520244806766	0.11232719169182381
106	Th	rainy	midday	70.4204639709384	3	1	59.80743337168764	8.251420072330719	0	0
107	Th	rainy	morning rush	63.03099743776467	4	2	44.520744447585976	15.597364399542785	0	0
108	Sa	rainy	morning rush	72.77627645098941	11	2	57.69378771714949	35.73393349462388	17.999938306536762	0
109	Tu	snowy	midday	-1.2633694690391337	5	1	38.59607056096796	20.528240283351316	15.107185567603292	0
110	Sa	sunny	evening rush	65.04619743789972	6	3	56.085508075354966	18.763981940607277	5.474729317447417	0.9425106017165527
111	Th	sunny	morning rush	60.4180575749314	8	2	58.89542022684056	26.64293000183374	12.593860324639996	0
112	Su	sunny	overnight	84.16983103769792	6	2	43.34110042194286	16.81145963891879	1.3827046273572998	3.5765107990360083
113	Fr	sunny	evening rush	73.0894455865712	5	1	49.50936691143645	17.861955770218746	0	0.6883391547167976
114	Sa	rainy	midday	53.830503114785564	2	1	47.024567463933806	6.318989981738133	0	0
115	Tu	snowy	evening rush	2.6408860429060033	6	2	50.509567671773894	25.60984215027031	18.379521812954685	1.5973245582146411
116	M	snowy	midday	11.282548500997446	4	1	77.10455732581978	16.991878300968857	8.860518821373535	0
117	M	snowy	overnight	8.298451830880902	5	3	83.49958925257091	22.34543326868119	11.406153362752345	0
118	Th	snowy	morning rush	5.821236811800598	3	1	61.33499447000543	12.955565227791233	5.3781934660958735	0
119	M	sunny	midday	80.33232201821951	2	2	37.45903146694268	6.977544504568284	0	0
120	Tu	rainy	overnight	100.0099446448402	4	1	39.65835055213948	18.874638002110025	0	0
121	Th	rainy	evening rush	100.54090937154884	5	1	68.63840222633718	18.56498316666602	0	0
122	W	rainy	midday	76.21385354374777	6	3	61.9186052969015	16.719218211674452	4.900309829650064	0
123	M	sunny	midday	75.17456484698465	3	3	51.816370761124546	13.566752598245976	0	0
124	Th	snowy	overnight	16.608590063398488	5	1	39.71425116537281	21.604622865053518	12.278769951499845	0
125	Fr	sunny	overnight	66.08420081988511	6	1	51.46491969027166	24.738695453172735	4.247121232562643	3.3770720196671893
126	Th	sunny	midday	69.92610201729961	1	2	35.761107179480845	2.776821317759751	0	2.577971518424663
127	Tu	snowy	midday	9.179505536823799	4	2	37.91980239745063	15.003926901393067	9.752182805220645	0
128	Sa	sunny	evening rush	57.31526547977315	2	4	37.52947521807076	10.981877154293727	0	0
129	Fr	rainy	midday	85.4180306517738	7	2	55.687694076420144	28.161990016012272	5.883364217444926	0
130	Sa	snowy	evening rush	10.827663719276442	3	1	54.49140049675138	14.994306198782338	6.5946547836969955	0
131	W	sunny	midday	81.36539444367175	5	2	54.876512031958626	15.311952915047021	0	0
132	Fr	snowy	overnight	8.512354370478143	1	3	27.319474642087584	11.202182290291278	4.881009493924035	0.3719490347590877
133	Th	sunny	morning rush	69.02091216522862	10	1	37.16295489553567	36.01977700888799	14.639179185169397	1.7420939002598395
134	M	sunny	morning rush	68.86370701672278	5	1	49.99068250045515	19.340566875768722	0	1.465889148793228
135	Tu	sunny	midday	68.65243315889325	7	4	49.309515436346494	22.288265731399562	9.361849079033313	0
136	Su	sunny	morning rush	70.98470893273642	6	4	74.1353885879779	16.497152018088475	2.8415040069658803	0
137	M	sunny	evening rush	77.80805072472656	5	4	54.846017381546645	14.098981904474996	0	0
138	Tu	rainy	evening rush	78.65195184549566	3	2	41.82710906175855	12.825755879117729	0	0
139	Su	snowy	evening rush	4.631148409772474	4	1	51.63153808611388	15.048869050267335	12.554086555719365	2.9031626989080204
140	Fr	sunny	evening rush	68.00279872917439	5	3	69.05615502141352	13.687664851368833	6.167842595899556	1.2964586678044272
141	W	sunny	evening rush	71.78361905791624	2	1	70.60805099480386	6.032725627470256	0	0.5581142322179491
142	Su	sunny	morning rush	57.573994751716	4	4	8.38532479315657	14.073620128339375	1.4288037932282944	3.0381073796436735
143	Th	sunny	midday	79.65122439685115	5	4	78.19310237521033	12.5527574874755	0	0
144	M	rainy	morning rush	81.32435851150984	4	1	56.58306822770678	17.090378876242962	0	0
145	Fr	snowy	evening rush	4.915811043190901	5	3	31.35182636736043	22.470886508426617	17.40134337326934	0.8512564202790205
146	Fr	rainy	midday	85.27780049438451	5	3	50.96778033991907	19.344998235070324	0	0
147	Sa	sunny	midday	88.40234426728824	5	2	57.54277758614359	15.784069077908246	0.1764270825329275	0
148	Tu	snowy	overnight	14.959764120797864	4	2	58.96785487352662	17.491973842369855	8.9700992060049	0
149	Sa	snowy	morning rush	3.879220612369245	4	3	76.91785704129127	11.24950643381814	10.497799194220306	0
150	Tu	sunny	overnight	81.86711327336825	3	1	56.6029365356904	7.188135774748967	0	1.3343513826919648
151	Th	snowy	evening rush	10.201920278688409	3	2	56.53976424679899	16.249676649083803	7.586906091195248	0
152	Sa	rainy	morning rush	62.697668655137804	6	2	88.57533372285431	20.463353288307562	6.482154729929141	0
153	Th	sunny	overnight	81.49605027150594	8	2	92.82151264002275	26.239329644494408	10.507476390978702	0
154	Th	sunny	midday	74.51072827268496	7	3	49.68315977382149	16.09615053543576	6.486039192976493	0
155	M	sunny	evening rush	69.06721767830993	4	1	58.246067784081994	18.497899653759955	0	0.8400104501583905
156	Su	snowy	midday	12.978987098841063	9	1	66.8682108622124	27.541752409707414	23.630896976622275	0
157	Sa	sunny	evening rush	68.74244784396167	2	2	37.2368455186884	6.449785005189183	0	0.6209872191461365
158	Su	sunny	morning rush	84.2916141187986	8	3	48.80662172528319	21.17128297166755	4.520105469661516	0
159	M	sunny	overnight	50.5213315221703	9	2	55.89395929692409	30.07606433266389	11.495857215338606	2.782222364655794
160	W	sunny	evening rush	77.24928856042395	9	1	46.15505440672008	30.565417155115338	14.14495380787788	0.46120725713538496
161	W	snowy	morning rush	6.313170065312675	4	1	49.34891992573327	18.505524491810412	8.53929997971617	0
162	Th	snowy	overnight	11.62093201533246	5	1	42.87384464656441	19.36192992825685	12.352897664229578	0.19347089961740194
163	Tu	snowy	overnight	12.074586590257056	5	3	61.66632579335932	20.658519839716185	13.689299063804272	0
164	Sa	snowy	overnight	17.019404381487195	9	1	61.96864245857102	30.047734293690233	25.24505592859061	0
165	Su	rainy	morning rush	67.83371384939548	8	4	80.82940118547701	25.19876794461056	7.604349962263685	0
166	Th	rainy	overnight	75.9308565775719	5	4	55.616951258119755	22.216379152203178	1.7623590288215767	0
167	M	snowy	midday	4.162894620649969	6	2	41.02358746236252	25.9129753272183	16.293637659616913	0
168	Tu	sunny	evening rush	76.05527465171598	6	1	38.89771843002379	19.548356604664754	4.201728762735913	0
169	Sa	sunny	midday	73.54622403245261	4	3	68.15243165046266	10.021672624218018	0	0
170	Th	sunny	overnight	86.28253352739807	1	3	45.79602160986268	6.040612666633284	0	0.9802247905175793
171	W	rainy	midday	57.325174698750736	7	1	59.37625479376554	20.11255846215262	12.787489351954168	0
172	Sa	snowy	midday	17.64262394481491	2	3	71.86439369864776	9.473903749260973	1.5929057150458	0
173	Th	sunny	morning rush	73.73091497185622	4	2	49.28197338816643	11.145953618684883	0	2.316630207875672
174	Sa	rainy	evening rush	83.99571013150566	0	3	45.89065839233394	1.2976655207381533	0	0
175	Sa	sunny	overnight	61.445923133924396	7	4	63.97089430108389	21.60270649089789	10.797000225010068	0.047100941803549956
176	Th	snowy	evening rush	5.7607675585585385	6	3	69.21721032990762	21.164982112712273	17.08658478154589	2.7881534303376783
177	Th	sunny	evening rush	74.28365724572564	5	2	40.232745068922036	16.465590303809044	0	0
178	M	sunny	morning rush	57.17953693523032	7	1	37.55003841631452	26.980366260465424	8.819727510576955	0
179	Sa	sunny	midday	65.32399061427016	3	1	75.18507447206723	9.64096980203086	0	0
180	W	sunny	evening rush	92.30501575053117	1	1	53.5556215215399	3.319022737851858	0	5.7832927039426
181	Sa	snowy	morning rush	7.655946492806611	3	2	62.90288161487185	11.327486343193522	7.3733436327645245	0
182	Fr	sunny	evening rush	73.05655903389857	5	2	40.9845564973016	21.66888907190016	2.9206922767564945	1.8752199472270092
183	Tu	rainy	midday	72.27126329155249	5	1	54.61723394554647	17.227990198816933	0	0
184	W	rainy	evening rush	65.93940771622874	6	1	45.61804393035092	20.114489193970858	5.025667995977796	0
185	Th	sunny	midday	69.71579954720796	5	2	51.08562747318613	17.02436746162012	2.2722665845081425	0.28938963664938133
186	Su	sunny	evening rush	69.5629116314096	9	1	69.03254105418628	29.48974664703915	10.29689305372162	1.5526321985351583
187	M	rainy	morning rush	74.68257518759859	3	4	51.862670729957706	15.633367163881825	0	0
188	Su	sunny	overnight	58.21894401521191	11	1	49.525816503264195	33.187592951268435	20.972862956673566	0
189	Fr	sunny	morning rush	73.0471211863588	3	2	52.09696807341434	12.611034539984718	0	0
190	Sa	sunny	morning rush	70.5745320427698	6	2	44.16566835598819	17.435413159003573	0.764638474184848	0.23360368255155728
191	Fr	sunny	overnight	62.85487964587831	6	3	51.762509462854254	24.325201192249388	4.4966165589336615	0
192	W	rainy	morning rush	51.89546407091759	7	4	17.52847377339701	23.62863453496472	10.302750951975586	0
193	Su	sunny	overnight	55.45907628527959	8	3	70.69231183699131	24.379942629776355	13.344273389354793	0.15565591816798618
194	M	sunny	morning rush	64.96013118037067	7	2	46.27900539619837	26.825824946958527	6.96006206449789	0
195	Sa	sunny	morning rush	72.02231776482502	5	4	70.0830031398774	16.454690336886333	0	0
196	Tu	rainy	evening rush	73.98082860314781	4	3	60.23846788823355	16.513430650712557	0	0
197	Sa	sunny	overnight	44.1878330471514	4	2	31.196233909299	14.621808549414755	0	4.935428560543107
198	W	snowy	overnight	16.746757826544037	2	2	52.18979457177677	11.213608467415776	2.72388192882903	0
199	Su	sunny	overnight	76.0562843356591	6	3	43.626970801009406	21.863208052378546	0.5215072186934271	0
200	W	rainy	overnight	63.732415065689345	11	1	50.220779910048265	38.29056542373318	20.31085532079075	0
201	W	sunny	morning rush	84.42956001790284	5	3	38.87100735841727	18.20071745264214	1.787434812482139	1.984846997799828
202	M	sunny	overnight	59.29299857484712	7	1	61.89003383335118	27.818887380989555	13.90915005014827	0
203	Sa	sunny	overnight	71.80052585322247	5	1	58.957612892878544	14.452207246063791	1.6400788893982063	0.9211727909804692
204	Th	rainy	overnight	72.16553286374068	3	1	68.12625258858195	15.166902073373091	0	0
205	Fr	snowy	morning rush	8.45561797360909	8	2	49.4918307442361	28.548531909157965	19.829938055136147	0
206	Su	snowy	evening rush	16.038921443003893	7	2	61.12306658094015	23.262135821789347	17.19540249594586	0
207	Su	rainy	evening rush	57.500791840876126	3	4	45.00911130120373	14.599653185467439	0	0
208	Su	sunny	overnight	76.9364799960958	7	2	22.83973198615793	24.599036455015042	4.924552465219313	3.458836065552673
209	Tu	rainy	overnight	57.295694905579545	4	3	54.620669188326445	18.450148418366737	1.1991310563065505	0
210	Th	sunny	midday	66.28295013616767	1	2	37.654469532837254	1.4770589580266726	0	0
211	M	sunny	midday	62.74985381629919	5	3	54.7679710165386	16.769958543832587	1.0296509286020834	1.4394228563684552
212	Fr	sunny	midday	75.80421036804434	2	1	48.14871758527614	10.320284314771346	0	0
213	Tu	sunny	midday	72.66792539579568	3	4	41.80878899344091	14.508622865595088	0	0
214	M	sunny	midday	78.23628728325455	7	1	60.69891144999019	22.430143585575507	7.993846498730862	0
215	Tu	snowy	overnight	4.235311996217181	3	2	73.68605217063413	12.574003416890516	6.175729100301183	6.781356924739203
216	Sa	sunny	overnight	78.18522882986088	6	4	72.56936433315227	22.914296588304822	2.9988371650136116	0.6443365509554548
217	Th	sunny	midday	84.0674253910454	6	2	56.69514773207872	16.28493205178197	0	0
218	M	snowy	evening rush	9.186800508492318	1	1	43.26304878675051	10.692206208446247	5.154522706356362	1.1309139228609588
219	Th	sunny	evening rush	76.51395569703055	4	4	66.67591424626438	17.290047721113673	0	1.3849857036223856
220	M	sunny	evening rush	82.223612094931	7	3	40.70979154591423	22.0443893461066	6.317987224985066	0
221	W	snowy	morning rush	6.590465935179882	6	2	56.34659287197574	20.02924426287215	14.101086080023123	0
222	Sa	snowy	evening rush	5.199113855577128	9	1	63.131780169953565	30.352427123975758	25.2652340410182	0.6382897707328602
223	Sa	snowy	overnight	17.486168878129277	7	3	51.141562636701806	29.289971337771384	19.247836652630035	0
224	Tu	sunny	midday	85.42187239021798	2	2	48.79411812057197	3.1207867653222223	0	0
225	Sa	sunny	morning rush	62.3307345717064	4	1	44.11172347061226	11.942833628714471	0.6582409429939624	2.1591362152099176
226	Tu	sunny	evening rush	54.627162184397775	5	2	15.393231051126648	16.832311194125715	7.4146768360596	0
227	Sa	snowy	morning rush	5.5102698311385225	4	2	54.06879608877468	15.661177868296859	8.700703677313768	0
228	Fr	sunny	midday	58.72596438426319	4	4	37.516676833070846	19.853996080556897	0	0
229	Tu	snowy	midday	6.356760806925115	6	1	42.319661029672396	23.26183899076758	18.789054500127587	0
230	Su	sunny	morning rush	66.20822124450578	3	1	12.073258519592486	10.07961504330521	0	3.7667110237846932
231	M	sunny	overnight	59.70013794570183	3	3	54.64298319493371	12.501965028885516	0	0.21621171242362947
232	Th	snowy	midday	15.466911346638577	3	2	42.85843789328122	10.522271531706037	6.761249516945819	0
233	Fr	snowy	overnight	19.18409682922298	2	2	45.97142233023105	12.96187152433529	0.6639829390941532	0
234	Su	snowy	overnight	9.298541858895415	3	1	54.21123968879228	11.41621811080495	7.84823157607277	0
235	M	snowy	morning rush	6.915760030121021	4	1	23.455556434300703	16.015202037417897	11.864559111951232	0.08363092246697668
236	Fr	sunny	overnight	61.49225265057365	3	2	58.99597533322854	15.190852493203115	0	1.9581261967492911
237	Sa	sunny	overnight	49.81961409702879	7	3	58.857713255034824	24.729488635355214	13.825169090655923	3.5283550173730647
238	M	snowy	evening rush	11.666885464672212	10	3	48.905703759277095	39.135239380485395	30.140356594882356	0
239	Tu	rainy	midday	85.80603553259789	4	1	47.57707372163378	11.025490803688037	0	0
240	Sa	sunny	overnight	72.04064326133316	5	1	62.049263588791355	18.124686731479127	3.048820023378189	1.312354369653856
241	Sa	rainy	overnight	74.24931984493634	8	1	69.64023204813805	29.8340675084665	9.809074919046754	0
242	W	snowy	morning rush	-2.0080214022918508	9	2	53.36349487690073	29.31229920908054	27.059890360673705	6.497259933748675
243	Sa	sunny	morning rush	71.80125443324425	6	3	47.25155067300142	16.557352247097217	4.474024693788427	3.9837454032673567
244	M	sunny	morning rush	70.41044372175864	7	1	51.53013263808529	24.645306768906806	7.03603389838227	0.7864287324808126
245	Su	sunny	morning rush	67.14149399556057	2	3	71.17072212221392	7.483093443532358	0	0
246	Sa	sunny	morning rush	70.6573364272402	3	1	53.82773176000389	8.701555162241712	0	0
247	M	sunny	overnight	75.61431065246299	1	3	47.58532113856165	8.901231104460164	0	0
248	Tu	sunny	overnight	72.33695893162025	4	1	69.21549220114223	14.29806921058373	0	2.142420022367812
249	Sa	sunny	midday	73.8772834123923	3	2	52.356258014121266	7.2908661335390095	0	0
250	M	sunny	overnight	58.88180825633057	9	3	56.6987404557826	31.113962278737958	14.635442187690403	1.896972957254233
251	W	rainy	evening rush	86.92344359360271	10	1	47.127159607048924	32.415085038312334	11.820589644649203	0
252	Th	sunny	midday	69.98778151143443	4	3	19.304686543195835	11.588704781197356	0	0
253	Su	snowy	midday	3.6687086757988743	1	1	58.52213655957566	6.972888067168284	2.6342610142044465	0
254	W	sunny	midday	66.80249923339267	5	2	50.65495471574254	15.584793942448766	4.341341348429483	0
255	Fr	rainy	evening rush	65.44203565029511	4	3	54.05073017465025	22.87372911087495	0	0
256	M	sunny	overnight	89.81576386890573	7	3	58.97133182996708	26.630286627647624	2.799538623071539	5.013337142253571
257	W	sunny	morning rush	57.354572799796735	4	4	42.573551921439865	15.349626704139597	0.8363084197626001	1.4718560552853155
258	Sa	rainy	midday	70.3612371276416	7	2	76.20213105165693	21.768121366697	3.387864541870843	0
259	Fr	rainy	morning rush	84.41669221817916	3	1	43.492902614827585	14.57483451335025	0	0
260	W	sunny	morning rush	79.4287485933415	4	1	20.253196260484582	15.473514002871601	0	0.22243665539316057
261	Fr	sunny	overnight	87.97483763062029	6	1	26.987890897714948	24.96743303658211	0.4642162965996282	2.3448982190745182
262	Tu	sunny	morning rush	81.80927935128011	2	1	57.86332721689004	8.898390633359327	0	0
263	M	snowy	evening rush	8.812053118338403	7	2	61.42052510069931	27.37527833084777	21.68593569755572	0
264	Fr	sunny	overnight	69.48842876966765	5	1	46.342707320992716	18.34501328811619	2.2940739124564455	2.7867732460103416
265	M	rainy	midday	76.37014288964754	3	2	52.92099655602312	13.379610475753951	0	0
266	W	snowy	evening rush	7.659266079620075	5	2	64.27178694799197	20.75693872994685	15.604629803702332	0
267	Tu	rainy	evening rush	61.544053839955126	2	3	64.30392687456145	9.0657623522092	0	0
268	W	sunny	midday	68.98444100871912	7	1	50.88196879801749	18.401357261744433	11.288021109985745	0
